"taxon","lfc_(Intercept)","lfc_dietvegan","se_(Intercept)","se_dietvegan","W_(Intercept)","W_dietvegan","p_(Intercept)","p_dietvegan","q_(Intercept)","q_dietvegan","diff_(Intercept)","diff_dietvegan","passed_ss_(Intercept)","passed_ss_dietvegan","diff_robust_(Intercept)","diff_robust_dietvegan"
"s__aliiformigenes",0.922056421897304,-2.86052612991965,0.761642471780269,0.985636346069652,1.21061581524213,-2.90221250598799,0.292681750200933,0.0440202022683266,0.81805821669501,0.474434911017114,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__uncultured Burkholderiales bacterium",0.682742393747232,-1.89389825133689,0.391663055934366,0.755780328374188,1.74318813940328,-2.50588455432677,0.156254763640321,0.0663481772112056,0.702501182273284,0.474434911017114,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"k___p__Pseudomonadota_c__Betaproteobacteria_o__Burkholderiales_f__Sutterellaceae_g__Duodenibacillus_s__massiliensis",1.55313494142463,-2.63659585094024,1.26990637952612,1.38710852118381,1.22303105682814,-1.90078556268263,0.308628458055733,0.153512645507846,0.819734599260655,0.54853514274971,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"k___p__Pseudomonadota_c__Betaproteobacteria_o__Burkholderiales_f__Sutterellaceae_g__Sutterella_s__faecalis",1.7815692747539,-3.01731973982235,2.39993081484984,2.99930805013346,0.742341930746602,-1.00600528168092,0.511719550483408,0.388526503522431,0.876582924394328,0.716646059500739,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__wadsworthensis",-1.17500060389944,2.09410467298163,1.44139295800247,1.56528490645095,-0.815184087986521,1.33784250033413,0.446110764794399,0.229421433293601,0.849889851177652,0.609754973805499,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"k___p__Pseudomonadota_c__Gammaproteobacteria_o__Enterobacterales_f__Enterobacteriaceae_g__Escherichia_s__coli",0.221325009777091,-0.698546554371439,0.879610577627685,1.12587462937654,0.251617039865534,-0.620447904362375,0.809733563826088,0.557778419323742,0.945859328826191,0.824816812711029,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__aphrophilus",-0.667587580038615,0.61000557667186,0.238787819315197,0.542529695175497,-2.79573548580971,1.12437269719317,0.0680935363455603,0.342700744985023,0.482507844010314,0.695691032793359,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__influenzae",-1.05901476233103,1.24351877949237,0.124207820841471,0.477027954920829,-8.52615201809773,2.60680483536601,0.00338931592692744,0.0799049140074926,0.27494237287908,0.482494664914559,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__parainfluenzae",-0.594656262348397,0.933415989879536,0.264970054993224,0.647441982859529,-2.24423949477462,1.44169827504382,0.0659614514047275,0.199474354697298,0.478220522684274,0.598423064091893,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__pittmaniae",-1.43265499444866,1.65326584973741,0.309196541829316,0.49629943624977,-4.63347677167592,3.33118623351686,0.018937793907036,0.0446796895612281,0.303096658027163,0.474434911017114,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
